player_id,player
760,AT Carey
761,AG Harriott
762,DJ Worrall
763,A Price
764,A Wellington
765,BE Patterson
766,CM Edwards
767,DN Wyatt
768,G Wareham
769,GM Harris
770,KL Britt
771,LMM Tahuhu
772,M Brown
773,M Strano
774,ML Schutt
775,NA Plane
776,NM Goodwin
777,RH Priest
778,S Molineux
779,S Nitschke
780,SFM Devine
781,SJ Coyte
782,TJ McPharlin
783,TM McGrath
784,TT Beaumont
785,WD Hendricks
786,G Stubbings
787,GE Reed
788,Marc Nickl
789,AE Satterthwaite
790,B Hepburn
791,C Piparo
792,CL Hall
793,E Biss
794,E Thompson
795,EA Burns
796,EJ Villani
797,EL King
798,G Redmayne
799,H Graham
800,HC Knight
801,HK Matthews
802,K Fryett
803,KH Brunt
804,LK Ebsary
805,M Banting
806,NE Bolton
807,RL Grundy
808,SK Moloney
809,SW Bates
810,V Pyke
811,A King
812,AJ Blackwell
813,B Vakarewa
814,CJ Koski
815,D Hazell
816,D Young
817,E Kearney
818,EA Osborne
819,EJ Inglis
820,GL Triscari
821,H Kaur
822,HNK Jensen
823,JE Cameron
824,KM Mack
825,Kumar Jeyakkumar
826,L Bardsley
827,MJG Nielsen
828,MM Lanning
829,NE Stalenberg
830,NJ Carey
831,RL Haynes
832,RM Farrell
833,SL Bates
834,Terry Keel
835,RG Patterson
836,A Gardner
837,AJ Healy
838,AR Reakes
839,D van Niekerk
840,EA Leys
841,EA Perry
842,Kent Hannam
843,LC Sthalekar
844,LG Smith
845,M Kapp
846,SE Aley
847,SJ McGlashan
848,Troy Penman
849,BL Mooney
850,DJS Dottin
851,DM Kimmince
852,H Birkett
853,HL Ferling
854,Hennie Botes
855,JL Barsby
856,JL Jonassen
857,John Taylor
858,KL Short
859,P Cleary
860,S Mandhana
861,SJ Johnson
862,T Cooper
863,Terry Prue
864,C Raack
865,K Sutherland
866,RA Dunbar
867,Steven Farrell
868,L Harris
869,SE Dionysius
870,Ian Thomas
871,ML Gibson
872,Anthony Hobson
873,IMHC Joyce
874,JL Hunter
875,M Phillips
876,A Shrubsole
877,KD Perrin
878,KJ Hartshorn
879,SJ Elliott
880,NR Sciver
881,T Saville
882,L Cheatle
