event_name_id,event_name
469,Ireland v Bangladesh
470,ICC Cricket World Cup Qualifier Play-off
471,Nigeria Cricket Federation Women's T20I Tournament
472,Zimbabwe Women tour of Thailand
473,Gibraltar tour of Portugal
474,Gibraltar Tri-Nation T20I Series
475,ACC Men's Premier Cup
476,Bangladesh Women tour of Sri Lanka
477,Nordic T20 Cup
478,Women's T20 Quadrangular Series (in Namibia)
479,West Indies Women tour of Australia
480,South Africa Women tour of Australia
481,Nepal Women tour of Malaysia
482,West Indies tour of United Arab Emirates
483,ICC Women's T20 World Cup Europe Division 2 Qualifier
484,Ireland Women tour of West Indies
485,Australia Women tour of Ireland
486,Africa Continental Cup
487,Asian Cricket Council Women's Emerging Teams Cup
488,New Zealand Women tour of Sri Lanka
489,Belgium tour of Germany
490,Hungary tour of Czech Republic
491,India tour of West Indies and United States of America
492,Major League Cricket
493,Austria tour of Netherlands
494,Quadrangular Twenty20 Series (Bulgaria)
495,South Africa Women tour of Pakistan
496,India Women tour of Bangladesh
497,ICC Men's T20 World Cup East Asia-Pacific Qualifier
498,ICC Men's T20 World Cup Asia B Qualifier
499,ICC Cricket World Cup
500,Thailand Women tour of Netherlands
501,Netherlands Women's T20I Tri-Series
502,Mdina Cup
503,Women's Continental Cup
504,Pakistan Women tour of New Zealand
505,Croatia tour of Hungary
506,Estonia tour of Gibraltar
507,Myanmar Women tour of Singapore
508,Nordic Women T20 Cup
509,Jersey Women tour of Netherlands
510,New Zealand Women tour of South Africa
511,Gulf Cricket T20I Championship
512,East Africa Cup
513,Women's T20 Quadrangular Series (in Malaysia)
514,Japan Women tour of Vanuatu
515,ICC Women's T20 World Cup Africa Region Division Two Qualifier
516,Pakistan Women tour of England
517,Asian Games Women's Cricket Competition
518,Asian Games Men's Cricket Competition
519,ICC Men's T20 World Cup Sub Regional Asia Qualifier A
520,Namibia Women tour of United Arab Emirates
521,Serbia tour of Gibraltar
522,Luxembourg tour of Gibraltar
523,West Africa Trophy
524,Chile Women tour of Argentina
525,South American Men's Championships
526,Ireland Women v Scotland Women
527,Zimbabwe tour of Namibia
528,Pakistan Women tour of Bangladesh
529,ICC Men’s T20 World Cup Asia Qualifier Final
530,ICC Men's T20 World Cup Asia Qualifier Final
531,Cambodia tour of Indonesia
532,Women's T20 Quadrangular Series (in Hong Kong)
533,Philippines tour of Indonesia
534,Asian Cricket Council Men's Challenger Cup
535,Kuwait Women tour of Malaysia
536,Asian Cricket Council Women's Premier Cup
537,Canada tour of Nepal
538,Quadrangular Twenty20 Series (Thailand)
539,Scotland tour of United Arab Emirates
540,Hong Kong tour of Qatar
541,Malaysia Open T20 Championship
542,Papua New Guinea tour of Oman
543,Nepal tour of Hong Kong
544,Hong Kong Men's T20I Series
545,Women's African Games
546,African Games
547,Australia Women tour of Bangladesh
548,Papua New Guinea tour of Malaysia
549,Canada tour of United States of America
550,Bangladesh tour of United States of America
